prompt,completion
"What abilities can be used while controlling the Erebus?","Attack, Confuse Claw"
"What is the Erebus known as on the SNES?","Hidonite"
"What is the weakness of the Erebus?","MagiTek, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Erebus located?","Ebot's Rock (During fight with Hidon) [WoR]"
"What type of monster is the Erebus?","Undead"
"What is the special attack of the Erebus?","Zombie Claw (inflicts 'Zombie')"
"What status effects does the Erebus resist?","Darkness, Zombie, Poison, Invisible, Imp, Petrify, Silence"
"What status effects does the Erebus absorb?","Poison"
"How much HP does the Erebus have?","3500"
"What sketch can be drawn from the Erebus?","Attack (3/4), Zombie Claw (1/4)"
"What abilities can be used while controlling the Erebus?","Attack, Zombie Claw"
"What is the Erebus known as on the SNES?","Hidonite"
"What is the weakness of the Erebus?","Darkness, Poison, MagiTek, Death, Doom, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Erebus located?","Ebot's Rock (During fight with Hidon) [WoR]"
"What is the special attack of the Erebus?","Mega Claw (400% damage)"
"What status effects does the Erebus resist?","Zombie, Invisible, Imp, Petrify, Critical"
"How much HP does the Erebus have?","3500"
"What sketch can be drawn from the Erebus?","Attack (3/4), Mega Claw (1/4)"
"What abilities can be used while controlling the Erebus?","Attack, Mega Claw"
"What is the weakness of the Red Dragon?","Darkness, Poison, Image, Confusion, Sap, Slow"
"Where is the Red Dragon located?","Phoenix Cave (Flame Labyrinth) [WoR]"
"What does the Red Dragon drop?","Murakumo (Always)"
"What is the special attack of the Red Dragon?","Eraser (unblockable; standard damage, removes 'Reflect')"
"What status effects does the Red Dragon resist?","Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom"
"What status effects does the Red Dragon absorb?","Fire"
"How much HP does the Red Dragon have?","30000"
"What sketch can be drawn from the Red Dragon?","Firaga (3/4), Lv. ? Holy (1/4)"
"What abilities can be used while controlling the Red Dragon?","Attack, Eraser"
"What is the Blue Dragon known as on the SNES?","Blue Drgn"
"What is the weakness of the Blue Dragon?","Darkness, Poison, Image, Slow"
"Where is the Blue Dragon located?","Ancient Castle (Queen's Basement after revealing stairs) [WoR]"
"What does the Blue Dragon drop?","Zantetsuken (Always)"
"What is the special attack of the Blue Dragon?","Hit (steals MP)"
"What status effects does the Blue Dragon resist?","Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom"
"What status effects does the Blue Dragon absorb?","Water"
"How much HP does the Blue Dragon have?","26900"
"What sketch can be drawn from the Blue Dragon?","Blizzaga (3/4), Blaster (1/4)"
"What abilities can be used while controlling the Blue Dragon?","Attack, Hit"
"What is the Gold Dragon known as on the SNES?","Gold Drgn"
"What is the weakness of the Gold Dragon?","Darkness, Poison, Image, Berserk"
"Where is the Gold Dragon located?","Kefka's Tower (2nd Party) [WoR]"
"What does the Gold Dragon drop?","Crystal Orb (Always)"
"What is the special attack of the Gold Dragon?","Hit (400% damage)"
"What status effects does the Gold Dragon resist?","Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom"
"What status effects does the Gold Dragon absorb?","Lightning"
"How much HP does the Gold Dragon have?","32400"
"What sketch can be drawn from the Gold Dragon?","Thundaga (3/4), Blizzaga (1/4)"
"What abilities can be used while controlling the Gold Dragon?","Attack, Hit"
"What is the weakness of the Ice Dragon?","Darkness, Poison, Doom, Image, Silence, Berserk, Confusion, Sap, Slow"
"Where is the Ice Dragon located?","Narshe Cliffs [WoR]"
"What does the Ice Dragon drop?","Force Shield (Always)"
"What is the special attack of the Ice Dragon?","Hit (200% damage)"
"What status effects does the Ice Dragon resist?","Zombie, MagiTek, Invisible, Imp, Petrify, Death, Critical"
"What status effects does the Ice Dragon absorb?","Ice"
"How much HP does the Ice Dragon have?","24400"
"What sketch can be drawn from the Ice Dragon?","Blizzaga (3/4), Firaga (1/4)"
"What abilities can be used while controlling the Ice Dragon?","Attack, Hit"
"What is the Storm Dragon known as on the SNES?","Storm Drgn"
"What is the weakness of the Storm Dragon?","Darkness, Image, Sap"
"Where is the Storm Dragon located?","Mt. Zozo (Step on tile to open chest, releasing Storm Dragon) [WoR]"
"What does the Storm Dragon drop?","Force Armor (Always)"
"What is the special attack of the Storm Dragon?","Wing Sabre (300% damage)"
"What status effects does the Storm Dragon resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Storm Dragon absorb?","Wind"
"How much HP does the Storm Dragon have?","42000"
"What sketch can be drawn from the Storm Dragon?","Aero (3/4), White Wind (1/4)"
"What abilities can be used while controlling the Storm Dragon?","Attack, Wing Sabre"
"What is the Earth Dragon known as on the SNES?","Dirt Drgn"
"What is the weakness of the Earth Dragon?","Darkness, Poison, MagiTek, Image, Sleep, Slow"
"Where is the Earth Dragon located?","Opera House [WoR]"
"What does the Earth Dragon drop?","Magus Rod (Always)"
"What can be stolen from the Earth Dragon?","X-Potion (1/8)"
"What is the special attack of the Earth Dragon?","Honed Tusk (500% damage)"
"What status effects does the Earth Dragon resist?","Zombie, Invisible, Imp, Petrify, Death, Doom, Critical"
"How much HP does the Earth Dragon have?","28500"
"What sketch can be drawn from the Earth Dragon?","Thundaga (3/4), Magnitude 8 (1/4)"
"What abilities can be used while controlling the Earth Dragon?","Attack, Honed Tusk"
"What is the Skull Dragon known as on the SNES?","Skull Drgn"
"What is the weakness of the Skull Dragon?","MagiTek, Doom, Image"
"Where is the Skull Dragon located?","Kefka's Tower (3rd Party; After extending stairs for 1st Party) [WoR]"
"What does the Skull Dragon drop?","Muscle Belt (Always)"
"What is the special attack of the Skull Dragon?","Hit (unblockable; effect unknown)"
"What status effects does the Skull Dragon resist?","Darkness, Zombie, Poison, Invisible, Imp, Petrify, Death"
"What status effects does the Skull Dragon absorb?","Poison"
"How much HP does the Skull Dragon have?","32800"
"What sketch can be drawn from the Skull Dragon?","Attack (3/4), Rasp (1/4)"
"What abilities can be used while controlling the Skull Dragon?","Attack, Hit"
"What is the Holy Dragon known as on the SNES?","White Drgn"
"What is the weakness of the Holy Dragon?","Darkness, Zombie, MagiTek, Silence, Slow, Stop"
"Where is the Holy Dragon located?","Cultists' Tower (25th Floor) [WoR]"
"What can be stolen from the Holy Dragon?","X-Potion (7/8), Holy Lance (1/8)"
"What is the special attack of the Holy Dragon?","Hit (150% damage)"
"What status effects does the Holy Dragon resist?","Poison, Invisible, Imp, Petrify, Death, Doom, Critical"
"What status effects does the Holy Dragon absorb?","Holy"
"How much HP does the Holy Dragon have?","18500"
"What rage can be learned from the Holy Dragon?","Holy"
"What sketch can be drawn from the Holy Dragon?","Holy (3/4), Flare (1/4)"
"What abilities can be used while controlling the Holy Dragon?","Attack, Holy, Holy, Holy"
"What is the weakness of the Gigantuar?","MagiTek"
"Where is the Gigantuar located?","Desert south of Mandara (Fight 10 Cactuar then step on certain tile in South-West corner of Desert) [WoR]"
"What is the special attack of the Gigantuar?","Knockdown (500% damage)"
"What status effects does the Gigantuar resist?","Darkness, Zombie, Poison, Invisible, Imp, Petrify, Death"
"What status effects does the Gigantuar absorb?","Water"
"How much HP does the Gigantuar have?","30000"
"What sketch can be drawn from the Gigantuar?","1000 Needles (3/4), Knockdown (1/4)"
"What abilities can be used while controlling the Gigantuar?","Attack"
"What elements does the Gigantuar resist?","Fire"
"Where is the Leviathan located?","Ocean (Take ferry from Nikeah to South Figaro) [WoR]"
"What is the special attack of the Leviathan?","Entangle (inflicts 'Slow')"
"What status effects does the Leviathan resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"What status effects does the Leviathan absorb?","Water"
"How much HP does the Leviathan have?","32000"
"What sketch can be drawn from the Leviathan?","Tsunami (3/4), Entangle (1/4)"
"What abilities can be used while controlling the Leviathan?","Attack"
"Where is the Gilgamesh located?","Coliseum (Wager Excalipoor [Buy at Auction House for 500,000]) [WoR]"
"What does the Gilgamesh drop?","Genji Helm (7/8), Genji Armor (1/8)"
"What can be stolen from the Gilgamesh?","Genji Glove (7/8), Genji Shield (1/8)"
"What type of monster is the Gilgamesh?","Humanoid"
"What is the special attack of the Gilgamesh?","Blade Dance (150% damage)"
"What status effects does the Gilgamesh resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Gilgamesh have?","38000"
"What sketch can be drawn from the Gilgamesh?","Attack (3/4), Haste (1/4)"
"What abilities can be used while controlling the Gilgamesh?","Attack"
"What is the weakness of the Inferno?","Darkness, Critical, Image, Slow"
"Where is the Inferno located?","Kefka's Tower (Magitek Factory; 3rd Party) [WoR]"
"What can be stolen from the Inferno?","Ice Shield (1/8)"
"What is the special attack of the Inferno?","Sobat (300% damage)"
"What status effects does the Inferno resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Inferno absorb?","Fire"
"How much HP does the Inferno have?","30800"
"What sketch can be drawn from the Inferno?","Attack (3/4), Sobat (1/4)"
"What abilities can be used while controlling the Inferno?","Attack, Sobat"
"What is the Rahu known as on the SNES?","Rough"
"What is the weakness of the Rahu?","Petrify, Death, Doom, Critical, Slow, Stop"
"Where is the Rahu located?","Kefka's Tower (Magitek Factory; 3rd Party) [WoR]"
"What can be stolen from the Rahu?","Flame Shield (1/8)"
"What is the special attack of the Rahu?","Rapier (150% damage)"
"What status effects does the Rahu resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image"
"What status effects does the Rahu absorb?","Lightning"
"How much HP does the Rahu have?","8000"
"What sketch can be drawn from the Rahu?","Attack (3/4), Rapier (1/4)"
"What abilities can be used while controlling the Rahu?","Attack, Rapier"
"What is the Ketu known as on the SNES?","Striker"
"What is the weakness of the Ketu?","Petrify, Death, Doom, Critical, Slow, Stop"
"Where is the Ketu located?","Kefka's Tower (Magitek Factory; 3rd Party) [WoR]"
"What can be stolen from the Ketu?","Flame Shield (1/8)"
"What is the special attack of the Ketu?","Slash (200% damage)"
"What status effects does the Ketu resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image"
"What status effects does the Ketu absorb?","Ice"
"How much HP does the Ketu have?","11000"
"What sketch can be drawn from the Ketu?","Attack (3/4), Slash (1/4)"
"What abilities can be used while controlling the Ketu?","Attack, Slash"
"What is the Ultima Buster known as on the SNES?","Atma"
"What is the weakness of the Ultima Buster?","Darkness, MagiTek, Image, Sap, Slow"
"Where is the Ultima Buster located?","Kefka's Tower (Prison Cells, 2nd Party) [WoR]"
"What can be stolen from the Ultima Buster?","Blood Sword (7/8), Crystal Orb (1/8)"
"What is the special attack of the Ultima Buster?","Hit (150% damage)"
"What status effects does the Ultima Buster resist?","Zombie, Poison, Invisible, Imp, Petrify, Death, Doom"
"What status effects does the Ultima Buster absorb?","Poison, Wind, Holy, Earth, Water"
"How much HP does the Ultima Buster have?","55000"
"What sketch can be drawn from the Ultima Buster?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Ultima Buster?","Attack, Hit"
"What is the weakness of the Guardian?","Slow"
"Where is the Guardian located?","Kefka's Tower (After Room with Three Switches) [WoR]"
"What can be stolen from the Guardian?","Force Armor (7/8), Ribbon (1/8)"
"What is the special attack of the Guardian?","Ink (150% damage)"
"What status effects does the Guardian resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"How much HP does the Guardian have?","60000"
"What sketch can be drawn from the Guardian?","Mighty Guard (3/4), Ink (1/4)"
"What abilities can be used while controlling the Guardian?","Attack, Ink, Plasma"
"What is the Fiend known as on the SNES?","Doom"
"What is the weakness of the Fiend?","Darkness, Image, Slow"
"Where is the Fiend located?","Kefka's Tower (Room after Guardian, Left Party) [WoR]"
"What does the Fiend drop?","Mutsunokami (Always)"
"What can be stolen from the Fiend?","Safety Bit (1/8)"
"What is the special attack of the Fiend?","Fiendish Rage (unblockable; 400% damage)"
"What status effects does the Fiend resist?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death"
"What status effects does the Fiend absorb?","Ice, Poison"
"How much HP does the Fiend have?","63000"
"What rage can be learned from the Fiend?","Northern Cross"
"What sketch can be drawn from the Fiend?","Attack (3/4), Fiendish Rage (1/4)"
"What abilities can be used while controlling the Fiend?","Attack, Fiendish Rage"
"What is the weakness of the Goddess?","Image"
"Where is the Goddess located?","Kefka's Tower (Room after Guardian, Right Party) [WoR]"
"What does the Goddess drop?","Excalibur (Always)"
"What can be stolen from the Goddess?","Minerva Bustier (1/8)"
"What is the special attack of the Goddess?","Hit (150% damage)"
"What status effects does the Goddess resist?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify"
"What status effects does the Goddess absorb?","Lightning, Holy"
"How much HP does the Goddess have?","44000"
